radius,mean_nematic_correlation,std_nematic_correlation,n_points
0.65,0.9954183396453284,0.007366077764487709,178
0.7450003150820447,0.9946189006428421,0.009458392995242178,634
0.8538853376497628,0.9927247683078725,0.013394437641803453,925
0.9786843778354023,0.9827445933143845,0.03486264583947877,954
1.1217233382357688,0.960148125587055,0.06297061055124782,1003
1.2856680621854324,0.9346973641849179,0.10414981254005146,1298
1.4735740175677985,0.9292204358526841,0.11801785425772235,1727
1.688943242130345,0.893630048904001,0.17686670464886228,2139
1.9357896116043034,0.8508701299424082,0.24276177300595098,2447
2.2187136470427,0.8230405750106924,0.2707186264455996,2733
2.5429882555748367,0.7776692619772194,0.30122927787215986,2946
2.914657002543373,0.7357146998123976,0.3190844925982541,3058
3.3406467465398495,0.6994730670089421,0.3302065032812506,3151
3.8288967365384523,0.6710032644359062,0.3224959544507687,3179
4.388506577135017,0.6317969749033178,0.3274039914704435,3205
5.029905819546482,0.582081285133924,0.33962924157422864,3208
5.765048339069445,0.5350025630356652,0.34686997232919603,3210
6.607635121646088,0.48506819360010534,0.3488282878003585,3211
7.573369611651565,0.43072762994447894,0.34362188615935624,3209
8.680250379866456,0.37646125915904005,0.3437840200375943,3211
9.948906566140847,0.3177256120518316,0.3391029453188157,3211
11.40298234845655,0.2607933040138787,0.3299679048536936,3211
13.069577603807877,0.20433800659942442,0.3210780791811102,3211
14.979752973578629,0.14300926043837126,0.3112421944810428,3211
17.169108746411197,0.08538466717082693,0.29667080106452415,3211
19.678448347314195,0.03480714558059555,0.28029858456278794,3211
22.554538798576626,-0.004312434254894677,0.26391830831060054,3211
25.850982325338155,-0.024457407274107116,0.24765498642141598,3211
29.629215350088156,-0.028578770342579544,0.23242207619850164,3211
33.95965349453758,-0.023405565859275026,0.21767752581323668,3211
38.92300392847318,-0.01603941681085834,0.2038490319012963,3211
44.6117695240803,-0.012680338160502763,0.1914907087911514,3211
51.1319728489344,-0.010178637024343963,0.1811949615981083,3211
58.605132128034874,-0.013110344816974704,0.16938358874006545,3211
67.17052600124748,-0.014740653457202187,0.1618043884587225,3211
76.9877892848555,-0.0056212842989698565,0.15947013818237887,3211
88.23988811490366,0.009726407501227715,0.14858837182416343,3211
101.13652992062714,0.027796742731663007,0.17668317323568786,3211
115.91807178026433,0.057423249941206435,0.2605386340995097,3125
132.86000000000007,0.005130689918392778,0.3291733500741525,2694
